'bout|bao
'cause|că
'course|co xờ
'cuse|ci u
'em|am
'frisco|phờ rít cô
'gain|gen
'kay|cây
'm|am
'n|an
'round|rao đờ
's|ét
'til|ti
'tis|ti
'twas|tờ guă
a|a
a|a
a's|ây
a.|ây
a.'s|ây
a.d.|ây đy
a.m.|ây em
a.s|ây
aaa|tríp pă lây
aaberg|áp bớch
aachen|ách căn
aachener|ách ca nờ
aaker|ách cờ
aaliyah|a lia
aalseth|a xét
aamodt|a mắt
aancor|an co
aardema|a đê ma
aardvark|a đờ va cờ
aardvarks|a đờ va cờ xờ
aargh|a gờ
aarhus|ách hút
aaron|e răn
aaron's|e răn dờ
aarons|e răn dờ
aaronson|e răn xăn
aaronson|e răn xăn
aaronson's|e răn xăn dờ
aaronson's|e răn xăn dờ
aarti|a ty
aase|át
aasen|át xăn
ab|áp
ab|áp
aba|ây biây
ababa|áp báp ba
ababa|áp báp ba
abacha|áp bắch ca
aback|áp bách
abaco|áp bắch cô
abacus|áp bắch cắt
abad|áp bát
abadaka|áp bát đắch ca
abadi|áp bát đy
abadie|áp bát đy
abair|áp be
abalkin|áp ba cin
abalone|áp bă lô ny
abalones|áp bă lô ni
abalos|áp ba lô
abandon|áp ban đăn
abandoned|áp ban đăn đờ
abandoning|áp ban đa ning
abandonment|áp ban đăn măn tờ
abandonments|áp ban đăn măn tờ xờ
abandons|áp ban đăn dờ
abanto|áp ban tô
abarca|áp ba ca
abare|áp ba ry
abascal|áp bắt că
abash|áp bát
abashed|áp bát tờ
abasia|áp bê giia
abate|áp bết
abated|áp bết tít
abatement|áp bết măn tờ
abatements|áp bết măn tờ xờ
abates|áp bết xờ
abating|áp bết ting
abattoir|áp bắt gua
abba|áp ba
abbado|áp bát đô
abbas|áp bát
abbasi|áp bát xy
abbate|áp bết
abbatiello|áp bát ty eo lô
abbe|áp by
abbe|áp by
abbenhaus|áp băn hao
abbett|áp bét
abbeville|áp vi
abbey|áp by
abbey's|áp bi
abbie|áp by
abbitt|áp bít
abbot|áp bắt
abbotstown|áp bắt xờ tao
abbott|áp bắt
abbott's|áp bắt xờ
abbottstown|áp bắt xờ tao
abboud|áp bút
abboud|áp bút
abbreviate|a bờ ríp vy ây
abbreviated|a bờ ríp vy ây tít
abbreviates|a bờ ríp vy ây xờ
abbreviating|a bờ ríp vy ây ting
abbreviation|a bờ ríp vy ây săn
abbreviations|a bờ ríp vy ây săn dờ
abbruzzese|a bờ rút xê dy
abbs|áp dờ
abby|áp by
abc|ây bít xy
abc's|ây bít xi
abco|áp cô
abcotek|áp cốt téch
abcs|ây bít xi
abd|ây bít đy
abdalla|áp đa la
abdallah|áp đa la
abdel|áp đeo
abdella|áp đeo la
abdicate|áp đắch cết
abdicated|áp đắch cết tít
abdicates|áp đắch cết xờ
abdicating|áp đích cết ting
abdication|áp đích cết săn
abdnor|áp đờ nờ
abdo|áp đô
abdollah|áp đa la
abdomen|áp đô măn
abdomen|áp đô măn
abdominal|áp đa ma nă
abdominal|áp đa ma nă
abduct|áp đắch tờ
abducted|áp đắch tít
abducted|áp đắch tít
abductee|áp đắch ty
abductees|áp đắch ti
abducting|áp đắch ting
abducting|áp đắch ting
abduction|áp đắch săn
abduction|áp đắch săn
abductions|áp đắch săn dờ
abductions|áp đắch săn dờ
abductor|áp đắch tờ
abductor|áp đắch tờ
abductors|áp đắch tơ
abductors|áp đắch tơ
abducts|áp đắch tờ xờ
abdul|áp đu
abdulaziz|áp đu lă di
abdulla|áp đu la
abdullah|áp đă la
abe|ây
abed|áp bét
abedi|áp bét đy
abee|áp by
abel|ây bă
abela|áp beo la
abelard|áp bi lớt
abele|áp beo
abeles|áp beo dờ
abeles|áp beo dờ
abell|ây bă
abella|áp beo la
abeln|áp bi nờ
abelow|áp bă lô
abels|ây bă dờ
abelson|áp bi xăn
abend|áp ben đờ
abend|áp ben đờ
abendroth|áp bin đờ rót
aber|ây bờ
abercrombie|áp bờ cờ ram by
aberdeen|áp bớt đin
aberford|ây bờ phớt
aberg|áp bớch
aberle|áp bờ a
aberle|áp bờ a
abermin|áp bờ min
abernathy|áp bờ na thy
abernethy|áp bờ nê thy
aberrant|áp be răn tờ
aberration|áp bờ ây săn
aberrational|áp bờ ây sa nă
aberrations|áp bờ ây săn dờ
abert|áp bớt
abet|áp bét
abetted|áp bét tít
abetting|áp bét ting
abex|ây béch xờ
abeyance|áp bây an xờ
abeyta|áp bết ta
abhor|áp ho
abhorred|áp ho đờ
abhorrence|áp ho răn xờ
abhorrent|áp ho răn tờ
abhors|áp ho dờ
abiam|ây by am
abiam's|ây by am dờ
abid|ây bít
abide|áp bai
abided|áp bai đít
abides|áp bai dờ
abiding|áp bai đing
abidjan|áp bích gian
abie|áp by
abigail|áp bắch gê
abila|áp bi la
abilene|áp bi lin
abilities|áp bi lắt ti
ability|áp bi lắt ty
abimael|áp bi mê
abimaels|áp bi mê dờ
abingdon|áp bing đăn
abington|áp bing tăn
abio|áp biô
abiola|áp by ô la
abiola's|áp by ô lă
abiomed|ây by a mét
abiquiu|áp bích ciu
abitibi|áp bít típ by
abitz|áp bít xờ
abject|áp giéch tờ
abkhazia|áp ca dia
abkhazia|áp ca dia
abkhazian|áp ca dy an
abkhazian|áp ca dy an
abkhazian|áp ca dy an
abkhazian|áp ca dy an
abkhazians|áp ca dy an dờ
abkhazians|áp ca dy an dờ
ablate|áp lết
ablation|áp lết săn
ablaze|áp lê
able|ây bă
able-bodied|ây bă bát đít
abled|ây bă đờ
abler|ây bă lờ
abler|ây bă lờ
ables|ây bă dờ
ablest|ây bă xờ tờ
ablest|ây bă xờ tờ
abloom|áp lum
ablution|áp lút săn
ablutions|áp lút săn dờ
ably|ây ly
abnegation|áp néch gết săn
abner|áp nờ
abney|áp ny
abnormal|áp no mă
abnormalities|áp no ma lắt ti
abnormality|áp no ma lắt ty
abnormally|áp no mă ly
abo|áp bô
abo's|áp bô
aboard|áp bo đờ
abode|áp bốt
abohalima|áp bắch hă ly ma
abolish|áp ba lít
abolished|áp ba lít tờ
abolishes|áp ba lít si
abolishing|áp ba lít sing
abolition|áp bă lít săn
abolitionism|áp bă lít sa ni dăm
abolitionist|áp bă lít sa nắt tờ
abolitionists|áp bă lít sa nắt tờ xờ
abominable|áp ba ma nắp bă
abomination|áp ba ma nết săn
abominations|áp ba ma nết săn dờ
abood|áp bút
aboodi|áp bút đy
abor|áp bo
aboriginal|áp bờ ích gia nă
aborigine|áp bờ ích gia ny
aborigines|áp bờ ích gia ni
aborn|áp bo nờ
abort|áp bo tờ
aborted|áp bo tít
abortifacient|áp bo ta phết săn tờ
abortifacients|áp bo ta phết săn tờ xờ
aborting|áp bo ting
abortion|áp bo săn
abortionist|áp bo sa nít tờ
abortionists|áp bo sa nít tờ xờ
abortions|áp bo săn dờ
abortive|áp bo típ
aborts|áp bo tờ xờ
abott|áp bát
abou|áp bu
aboud|áp bút
abouhalima|áp búch ha ly ma
abouhalima's|áp búch ha ly mă
abound|áp bao đờ
abounded|áp bao đít
abounding|áp bao đing
abounds|áp bao đờ dờ
about|ơ bao
about's|áp bao xờ
above|áp bắp
above's|áp bắp dờ
aboveboard|áp bắp bo đờ
abplanalp|áp pờ la na pờ
abra|a bờ ra
abracadabra|a bờ rắch cắt đa bờ ra
abrade|a bờ rết
abraded|a bờ rết đít
abrades|a bờ rết dờ
abraham|a bờ ra ham
abrahamian|a bờ rắch hây my an
abrahams|ây bờ rắch ham dờ
abrahamsen|a bờ rắch ham xăn
abrahamson|a bờ rách hăm xăn
abram|a bờ ram
abram's|ây bờ răm dờ
abramczyk|a bờ răm chích
abramo|a bờ ra mô
abramovitz|a bờ ra mắp vít xờ
abramowicz|a bờ ra mắp vích
abramowitz|a bờ ra mă guít xờ
abrams|ây bờ răm dờ
abrams's|ây bờ răm di
abramson|ây bờ răm xăn
abrasion|a bờ rê giăn
abrasions|a bờ rê giăn dờ
abrasive|a bờ rết xíp
abrasives|a bờ rết xíp dờ
abraxa|a bờ rách xa
abraxa's|a bờ rách xă
abraxas|a bờ rách xă
abreast|a bờ rét tờ
abrego|a bờ réch gô
abreu|a bờ ru
abridge|a bờ rích
abridged|a bờ rích đờ
abridgement|a bờ rích măn tờ
abridges|a bờ rích giă
abridging|a bờ rích giing
abril|a bờ ri
abroad|a bờ rót
abrogate|a bờ rắch gết
abrogated|a bờ rắch gết tít
abrogating|a bờ rắch gết ting
abrogation|a bờ rắch gết săn
abrol|a bờ rô
abron|a bờ ran
abrupt|a bờ rắp tờ
abruptly|a bờ rắp tờ ly
abruptness|a bờ rắp tờ nắt
abrutyn|ây bờ rút tin
abruzzese|a bờ rút xê dy
abruzzo|a bờ ru dô
abs|ây by ét
abs|ây by ét
absalom|áp xă lăm
absaraka|áp xa rắch ca
abscam|áp xờ cam
abscess|áp xét
abscond|áp xờ can đờ
absconded|áp xờ can đít
absconding|áp xờ can đing
absconds|áp xờ can đờ dờ
absecon|áp xắch con
absence|áp xăn xờ
absences|áp xăn xi
absent|áp xăn tờ
absentee|áp xăn ty
absenteeism|áp xăn ty i dăm
absentees|áp xăn ti
absentia|áp xen sa
absher|áp sờ
abshier|áp siờ
abshire|áp sai
absinthe|áp xin thờ
abso|áp xô
absolom|áp xă lăm
absolut|áp xă lút
absolut's|áp xă lút xờ
absolute|áp xă lút
absolutely|áp xă lút ly
absoluteness|áp xă lút nắt
absolutes|áp xă lút xờ
absolution|áp xă lút săn
absolutism|áp xă lút ti dăm
absolutist|áp xă lút tít tờ
absolve|áp da v
absolve|áp da v
absolved|áp da v đờ
absolved|áp da v đờ
absolves|áp da v dờ
absolves|áp da v dờ
absolving|áp da ving
absolving|áp da ving
absorb|áp do bờ
absorbed|áp do bờ đờ
absorbency|áp do băn xy
absorbent|áp do băn tờ
absorber|áp do bờ
absorbers|áp do bơ
absorbing|áp do bing
absorbs|áp do bờ dờ
absorption|áp do pờ săn
absorption|áp do pờ săn
abstain|áp xờ tên
abstain|áp xờ tên
abstained|áp xờ tên đờ
abstained|áp xờ tên đờ
abstaining|áp xờ tây ning
abstaining|áp xờ tây ning
abstention|áp xờ ten chăn
abstention|áp xờ ten chăn
abstentions|áp xờ ten chăn dờ
abstentions|áp xờ ten chăn dờ
abstinence|áp xờ ta năn xờ
abstinent|áp xờ ta năn tờ
abston|áp xờ tăn
abstract|áp xờ trách tờ
abstract|áp xờ trách tờ
abstracted|áp xờ trách tít
abstraction|áp xờ trách săn
abstractions|áp xờ trách săn dờ
abstracts|áp xờ trách tờ xờ
abstruse|áp xờ trút
absurd|áp xớt
absurdist|áp xớt đít tờ
absurdities|áp xớt đắt ti
absurdity|áp xớt đắt ty
absurdly|áp xớt ly
abt|áp tờ
abt|áp tờ
abts|áp tờ xờ
abts|áp tờ xờ
abts|áp tờ xờ
abu|áp bu
abudrahm|áp ba đờ răm
abuellah|áp gueo la
abuellah's|áp gueo lă
abuladze|áp bi u lát dy
abundance|áp băn đăn xờ
abundant|áp băn đăn tờ
abundantly|áp băn đăn tờ ly
aburto|áp bu tô
aburto's|áp bu tô
abuse|áp bi út
abuse|áp bi út
abused|áp bi u đờ
abuser|áp bi u dờ
abusers|áp bi u dơ
abuses|áp bi út xi
abuses|áp bi út xi
abusing|áp bi u ding
abusive|áp bi út xíp
abut|áp bắt
abuts|áp bắt xờ
abutted|áp bắt tít
abutting|áp bắt ting
abuzz|áp bă
abysmal|áp bi mă
abysmally|áp bi mă ly
abyss|áp bít
abyssinia|áp xi nia
abyssinian|áp xi ny an
abzug|áp dắch
abzug|áp dắch
ac|ây xy
aca|ách ca
acacia|ách cết sa
academe|ách cắt đim
academia|ách cắt đy mia
academic|ách cắt đê mích
academically|ách cắt đê mích ly
academician|ách cắt đa mít săn
academicians|ách cắt đa mít săn dờ
academicians|ách cắt đa mít săn dờ
academics|ách cắt đê mích xờ
academies|ách cát đa mi
academy|ách cát đa my
academy's|ách cát đa mi
acadia|ách cết đia
acampo|ách cam pô
acampora|ách cam pơa
acampsia|ách cam pờ xia
acantha|ách can da
acapulco|ách cắp pu cô
acary|ách cơy
acc|ai xít xy
accardi|ách ca đy
accardo|ách ca đô
accede|ách xít
acceded|ách xít đít
accedes|ách xít dờ
acceding|ách xít đing
accel|ách xeo
accelerant|ách xeo lờ an tờ
accelerants|ách xeo lờ an tờ xờ
